Symbol,Name,IndustryCode,Industry,Sector
YCBD PR A,cbdMD 8 0 Series A Cumulative Convertible Pref Shs,56201040,제약,
UAVS,Ageagle Aerial Systems Inc,52101010,항공우주 및 방위,
DSS,DSS Inc,51302020,종이 포장재,
CPHI,China Pharma Holdings Inc,56201040,제약,
MITQ,Moving Image Technologies Inc,57106030,가정용 전자 제품,
OGEN,Oragenics Inc,56202010,생명 공학 및 의학 연구,
HCWC,Healthy Choice Wellness Corp,54301020,식품 소매 및 유통,
AZTR,Azitra Inc,56202010,생명 공학 및 의학 연구,
BURU,NUBURU Inc,52102010,산업용 기계 및 장비,
GBR,New Concept Energy Inc,60101010,"부동산 임대, 개발 및 운영",
SBEV,Splash Beverage Group Inc,54101030,무알콜 음료,
UUU,Universal Security Instruments Inc,57102010,통신 및 네트워킹,
KNW,Know Labs Inc,56101010,첨단 의료 장비 및 기술,
DLA,Delta Apparel Inc,53202020,의류 및 액세서리,
POL,Polished.Com Inc,53402010,백화점,
PW,Power REIT,60102020,상업용 REITs,
FOXO,Foxo Technologies Inc,57201010,IT 서비스 및 컨설팅,
NBY,NovaBay Pharmaceuticals Inc,56201040,제약,
ITP,IT Tech Packaging Inc,51301020,종이 제품,
TOVX,Theriva Biologics Inc,56202010,생명 공학 및 의학 연구,
EFSH,1847 Holdings LLC,53403050,컴퓨터 및 전자 제품 소매,
VTAK,Catheter Precision Inc,56101010,첨단 의료 장비 및 기술,
SOAR,Volato Group Inc,52406010,항공사,
BTTR,Better Choice Company Inc,54102020,식품 가공,
GPUS PR D,Hyperscale Data 13 00 Cumulative Redeemable Perpetual Pref Shs Series D,57201020,소프트웨어,
BQ,Boqii Holding Ltd ADR,53403090,기타 전문 소매,
MTNB,Matinas BioPharma Holdings Inc,56202010,생명 공학 및 의학 연구,
ID,PARTS iD Inc,53403010,"자동차 차량, 부품 및 서비스 소매",
PAPL,Pineapple Financial Inc,55101030,소비자 대출,
DXF,Eason Technology Ltd ADR,55101030,소비자 대출,
YCBD,cbdMD Inc,56201040,제약,
SGN,Signing Day Sports Inc,57201020,소프트웨어,
GLU PR A,Gabelli Global Utility and Income Cumulative Puttable and Callable Pref Shs,55501030,폐쇄형 펀드,
AEON,Aeon Biopharma Inc,56202010,생명 공학 및 의학 연구,
PW PR A,Power REIT 7.75% Cumulative Redeemable Perpetual Pref Shs Series A,60102020,상업용 REITs,
SCPX,Scorpius Holdings Inc,56201040,제약,
LNFA.U,L F Acquisition Redeemable Units Class A,55601010,투자 지주 회사,
AMDI,Amphitrite Digital Inc,53301040,여가 및 오락시설,
ONDR,Sushi Ginza Onodera Inc,,,
